model_name,pretraining_image_count,training_epochs,data_count,model_parameters,accuracy,male_precision,male_recall,male_f1_score,female_precision,female_recall,female_f1_score
MobileNet,1400,50,300,5327041,0.47333332896232605,0.5137931034482759,1.0,0.6788154897494305,1.0,0.06622516556291391,0.12422360248447208
MobileNet,1400,50,300,28920001,0.5533333420753479,1.0,0.03184713375796178,0.0617283950617284,0.4847457627118644,1.0,0.6529680365296804
MobileNet,1400,50,300,28920001,0.5533333420753479,0.5473251028806584,0.8471337579617835,0.6649999999999999,0.5789473684210527,0.23076923076923078,0.33
VGG16,1400,30,300,15764289,0.6000000238418579,0.5964912280701754,0.6666666666666666,0.6296296296296297,0.6046511627906976,0.5306122448979592,0.5652173913043479

VGG16,2800,30,600,15764289,0.5116666555404663,0.5352941176470588,0.8297872340425532,0.6507747318235995,0.37777777777777777,0.12546125461254612,0.1883656509695291

VGG16,2800,30,600,15764289,0.37166666984558105,0.38235294117647056,0.23708206686930092,0.29268292682926833,0.3661616161616162,0.5350553505535055,0.43478260869565216

VGG16,2800,30,600,15764289,0.5083333253860474,0.4090909090909091,0.030927835051546393,0.05750798722044728,0.5121107266435986,0.9579288025889967,0.6674182638105974

VGG16,3200,10,800,11618497,0.5425000190734863,0.5143638850889193,0.9715762273901809,0.6726296958855099,0.8405797101449275,0.14043583535108958,0.24066390041493774

mobilenet,3200,50,800,11618497,0.5350000262260437,0.5434083601286174,0.42355889724310775,0.476056338028169,0.5296523517382413,0.6458852867830424,0.5820224719101124


mobilenet,1600,50,400,11618497,0.5475000143051147,0.5384615384615384,0.995260663507109,0.6988352745424292,0.9,0.047619047619047616,0.09045226130653267
mobilenet,1600,50,400,11618497,0.5400000214576721,0.5345268542199488,0.990521327014218,0.6943521594684386,0.7777777777777778,0.037037037037037035,0.07070707070707069
mobilenet,1600,50,400,11618497,0.5824999809265137,0.5705128205128205,0.8436018957345972,0.6806883365200765,0.625,0.291005291005291,0.3971119133574007
